job_title,company_name,location,job_description,employment_type,posted_date,source,job_url,extracted_at
Programme Manager,Punjab Government,"LAHORE, Punjab, Pakistan","Identify goals and objectives of the project and report regularly to Sr. Programme Manager. Overall responsibility of the project functions to ensure successful deployment within allocated time, and designated cost. Manage Project Coordinators and Software Development Lead and Software Developers Devise a formal reporting mechanism for the designated team and give visibility to higher ups Manage relationship with client department(s) Overall responsible for successful delivery of the assigned projects/tasks",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/programme-manager-158,2026-03-20T22:43:41.631560
Manager,Punjab Government,"LAHORE, Punjab, Pakistan","Responsible for planning, directing and overseeing the operations. Responsible for overseeing and leading e-khidmat centre team. Lead employees to encourage employee contribution and includes goal setting, feedback, and performance development planning. Must have hands-on relevant project management experience with government, industry and / or Multinational Corporations. Must be fully proficient in PC Software's and skills. Must have good communication skills. Liaison with the client departments.",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/manager-3,2026-03-20T22:43:42.143241
Senior Programme Manager,Punjab Government,"LAHORE, Punjab, Pakistan","Responsible for overall delivery of the project. Coordinate with the client department, ensuring proper documentation and timely resolution of technical issues. Ensuring that optimal quality/standard are maintained by each corresponding roles. Taking decisions over phase wise strategic implementation of project. Ensuring that the strategy/deliverables are free from any constraints and Government rules and regulations are being followed throughout the program. Key Performance Indicators:",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/senior-programme-manager-118,2026-03-20T22:43:42.654357
Senior Software Engineer,Punjab Government,"LAHORE, Punjab, Pakistan",Responsible for delivery of all development targets and Quality Assurance of the software. Management of software artifacts and ensure that the deadlines are not compromised at any level. Ensuring that the software’s developed are free from bugs and error.,Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/senior-software-engineer-100,2026-03-20T22:43:43.168780
Software Engineer,Punjab Government,"LAHORE, Punjab, Pakistan","Develop secure, scalable modules and services for the web-based GIS/MIS portal. Implement APIs, back-end logic, and integrations with GeoServer, PostGIS, and other spatial engines. Assist in consuming AI-detected violation datasets (raster & vector) through automated workflows. Develop front-end components, dashboards and interactive UI elements as required. Conduct unit testing, integration testing, debugging, and code optimization Support system deployment, release cycles, and environment configuration. Collaborate with GIS Developers, Sr. Developers, QA team, PMU stakeholders and planning teams",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/software-engineer-219,2026-03-20T22:43:43.710357
Programme Officer,Punjab Government,"All Punjab, Punjab, Pakistan",To ensure documentation and timely resolution of issues To coordinate with client department on Data/Information collection as per specified formats To ensure timely generation of relevant project reports Any other duty / responsibility as assigned from time to time,Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/programme-officer-243,2026-03-20T22:43:44.225027
Receptionist/ Greeting Officer,Punjab Government,"CHAKWAL LAHORE, Punjab, Pakistan",Assist visitors and verify documents of visitors 2. Must have good communication and public dealing skills.,Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/receptionist-greeting-officer-20,2026-03-20T22:43:44.740754
Mobile App Developer,Punjab Government,"LAHORE, Punjab, Pakistan","Design and development of mission critical native applications using swift / objective C for IOS and/or Java for Android. Optimize the mobile applications based on the usage Building and maintaining innovative features in applications. Making decisions and providing continuous support for better output. Submitting mobile applications to app stores. Close collaboration with internal support and business teams. Active role in coordination and identification of development activities. Good knowledge of mobile UI I UX interfaces. Designing Mobile based advanced features Collaborating with Backend and front end developers for integration of existing web applications to Mobile, e Develop prototypes/rnockups and create robust high-volume production applications. Write XML layout, positioning and server-side code for apps. Write functional requirements documents and guides",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/mobile-app-developer-43,2026-03-20T22:43:45.257611
Inventory Supervisor,Punjab Government,"CHAKWAL, Punjab, Pakistan",To be maintain and create reports of inventory. Performs other duties as assigned and required.,Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/inventory-supervisor-21,2026-03-20T22:43:45.777841
Assistant Manager,Punjab Government,"All Punjab, Punjab, Pakistan","Manage and coordinate all operational activities in e-Khidmat Centre. Liaison with the client departments. To perform duties as and when assigned by Management and Manager FC. Must have hands-on relevant project management experience with government, industry and / or Multinational Corporations. Must be fully proficient in PC Software's and skills. Must have good communication skills. Liaison with the client departments.",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-manager-6,2026-03-20T22:43:46.289440
